,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,target
count,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052.0,1052
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRB
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698
mean,4.781715779467681,3.0686775665399244,0.7129277566539924,0.04277566539923954,0.9828897338403042,0.2880228136882129,1.6511406844106464,37.06549429657795,1.3783269961977187,1.7984790874524714,1.44106463878327,-0.1959115969581749,3.4765903041825093,1.350726235741445,9.93623288973384,3.626425855513308,1.0131615969581749,1.131097908745247,0.008555133079847909,0.0741444866920152,0.029467680608365018,1.2389790874524715,1.3954372623574145,0.039923954372623575,0.1473384030418251,0.03136882129277566,2.215204372623574,-0.001109315589353612,0.026615969581749048,8.787386882129276,2.6698079847908747,0.12452471482889733,0.8859315589353612,1.2785171102661597,0.9562737642585551,3.9186520912547533,2.556001901140684,0.688212927756654,8.62963403041825,0.051330798479087454,0.7195817490494296,
std,0.5462073490376883,0.8304336741746489,1.4551016530318583,0.2563653862783919,2.3356933408929863,1.071971909581119,2.2262529760126633,9.143839333526227,1.9653094786382173,1.771772958453821,3.1200749593944543,0.7669779841320175,0.584255822600617,0.7869375895783799,0.9283105829837113,4.4615052267068105,0.04647367637830296,0.030159343957928436,0.10194588125255015,0.3179033508377289,0.2183026423884466,0.09621980436268161,4.776597933680143,0.1958736896550834,0.3546115221141245,0.1998211114752088,0.22548192401805273,0.15912749267051074,0.16103481032011205,11.902432275778141,2.0990514923798695,0.6189885109947487,1.5219021934614092,2.2762151817139973,1.2484009155753666,1.000710250467379,0.6407744273844831,1.0913263433684512,1.2428352228485129,0.31941331935961675,2.2363395690069874,
min,2.0,0.8039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.256,1.544,0.0,4.174,0.0,0.957,1.022,0.0,0.0,0.0,0.863,0.0,0.0,0.0,0.0,1.0,-1.099,0.0,0.0,0.444,0.0,0.0,0.0,0.0,2.267,1.467,0.0,4.917,0.0,0.0,
25%,4.481,2.506425,0.0,0.0,0.0,0.0,0.0,30.475,0.0,0.0,0.0,-0.19,3.105,0.875,9.533,0.0,0.983,1.116,0.0,0.0,0.0,1.18275,0.0,0.0,0.0,0.0,2.101,-0.008,0.0,0.0,1.44825,0.0,0.0,0.0,0.0,3.48775,2.10175,0.0,7.9925,0.0,0.0,
50%,4.828,3.0460000000000003,0.0,0.0,0.0,0.0,1.0,37.5,1.0,2.0,0.0,0.0,3.443,1.187,10.038,2.0,1.003,1.13,0.0,0.0,0.0,1.243,1.0,0.0,0.0,0.0,2.247,0.0,0.0,0.0,2.052,0.0,0.0,0.0,1.0,3.7270000000000003,2.458,0.0,8.5005,0.0,0.0,
75%,5.125,3.432575,1.0,0.0,1.0,0.0,3.0,43.349999999999994,2.0,3.0,2.0,0.0,3.82525,1.705,10.51375,6.0,1.029,1.143,0.0,0.0,0.0,1.296,2.0,0.0,0.0,0.0,2.358,0.005,0.0,12.4505,3.154,0.0,1.0,2.0,2.0,3.9865000000000004,2.86775,1.0,9.018749999999999,0.0,0.0,
max,6.496,9.1775,12.0,3.0,36.0,13.0,18.0,60.7,24.0,12.0,44.0,4.722,5.701,4.491,12.609,40.0,1.311,1.377,2.0,3.0,3.0,1.641,147.0,1.0,1.0,3.0,2.859,1.073,1.0,71.167,17.537,8.0,12.0,18.0,7.0,10.695,5.825,8.0,14.7,4.0,27.0,
